OPEID,INSTName,State,StateNO,UGDs,SAT,PCTPELL,Salary,SalaryRate
00100200,Alabama A & M University,AL,0,4051,823,0.7115,31400,0.46229803562164
00105200,University of Alabama at Birmingham,AL,0,11200,1146,0.3505,40300,0.66048449277877
00105500,University of Alabama in Huntsville,AL,0,5525,1180,0.3281,46600,0.6605657339096
00100500,Alabama State University,AL,0,5354,830,0.8265,27800,0.34222561120986
00105100,The University of Alabama,AL,0,28692,1171,0.2107,42400,0.6610854268074
00831000,Auburn University at Montgomery,AL,0,4322,970,0.4006,34800,0.55453711748123
00100900,Auburn University,AL,0,19761,1215,0.1687,45400,0.70914214849472
00101200,Birmingham Southern College,AL,0,1181,1177,0.2136,41900,0.56930691003799
00101900,Huntingdon College,AL,0,1100,999,0.4302,37100,0.61685824394226
00102000,Jacksonville State University,AL,0,7195,1036,0.4613,35100,0.54661697149276
00102300,Judson College,AL,0,331,1023,0.4788,30700,0.37383177876472
00102400,University of West Alabama,AL,0,1988,950,0.5604,33800,0.56654673814773
00102600,Marion Military Institute,AL,0,411,1040,0.4424,48500,0.53153151273727
00102900,University of Mobile,AL,0,1472,1058,0.5032,37800,0.55844157934188
00100400,University of Montevallo,AL,0,2610,1070,0.4136,35100,0.52941179275512
00101600,University of North Alabama,AL,0,5536,1028,0.4192,36300,0.56070286035537
00103300,Oakwood University,AL,0,1854,924,0.5066,33700,0.42178770899772
00103600,Samford University,AL,0,2995,1153,0.1494,45800,0.7203539609909
00105700,University of South Alabama,AL,0,11048,1064,0.3743,38300,0.60879999399185
00104100,Spring Hill College,AL,0,1269,1100,0.3328,43800,0.63880598545074
02270400,Southeastern Bible College,AL,0,160,970,0.6089,28800,0.62068963050842
00104400,Stillman College,AL,0,863,882,0.7429,24700,0.39873418211936
00104700,Troy University,AL,0,16208,990,0.4758,36600,0.61395853757858
00105000,Tuskegee University,AL,0,2584,937,0.6453,37100,0.50160259008407
00106100,Alaska Pacific University,AK,1,340,1008,0.2791,47400,0.67857140302658
00108100,Arizona State University-Tempe,AZ,2,38480,1108,0.3376,45200,0.71778005361557
00108300,University of Arizona,AZ,2,31399,1106,0.3265,44400,0.67178428173065
00147902,Embry-Riddle Aeronautical University-Prescott,AZ,2,1802,1126,0.2884,60900,0.77342867851257
00108200,Northern Arizona University,AZ,2,22011,1050,0.3778,38800,0.65242964029312
00193701,Ottawa University-Phoenix,AZ,2,335,1020,0.5982,40700,0.73010063171386
02065300,Prescott College,AZ,2,540,1094,0.4547,35200,0.53892213106155
00711300,Arizona Christian University,AZ,2,491,1045,0.328,31000,0.52173912525177
00110100,University of Arkansas at Little Rock,AR,3,8504,1077,0.4027,34800,0.57188498973846
00108800,Lyon College,AR,3,570,1142,0.4617,37200,0.55232560634613
00110800,University of Arkansas,AR,3,20776,1156,0.2427,43600,0.69099926948547
00108600,University of Arkansas at Pine Bluff,AR,3,2503,842,0.6986,27400,0.36880165338516
00109000,Arkansas State University-Main Campus,AR,3,9325,1088,0.4618,32700,0.51413267850875
